id,order_id,payment_date,payment_method,payment_status
1,1,2023-09-03,Alipay,Completed
2,2,2024-03-29,PayPal,Completed
3,3,2023-12-01,WeChat,Completed
4,4,2023-02-10,Alipay,Completed
5,5,2023-06-09,Alipay,Completed
6,6,2023-12-13,Alipay,Completed
7,7,2023-05-16,Zelle,Pending
8,8,2024-02-22,PayPal,Completed
9,9,2024-03-09,Zelle,Completed
10,10,2023-08-14,PayPal,Completed
11,11,2024-06-11,Zelle,Completed
12,12,2024-07-08,Zelle,Pending
13,13,2022-11-27,WeChat,Completed
14,14,2023-12-06,Zelle,Completed
15,15,2024-02-28,e-transfer,Pending
16,16,2023-09-12,WeChat,Completed
17,17,2022-11-18,Zelle,Completed
18,18,2023-02-24,Alipay,Completed
19,19,2024-01-31,e-transfer,Failed
20,20,2022-11-03,e-transfer,Completed
21,21,2023-05-11,e-transfer,Completed
22,22,2023-09-09,WeChat,Completed
23,23,2023-03-27,Zelle,Completed
24,24,2023-04-08,Zelle,Completed
25,25,2023-12-01,Alipay,Completed
26,26,2022-07-14,Alipay,Completed
27,27,2023-12-03,e-transfer,Completed
28,28,2022-10-18,Alipay,Completed
29,29,2022-09-20,WeChat,Completed
30,30,2023-09-15,Zelle,Completed
31,31,2023-03-25,e-transfer,Completed
32,32,2024-03-06,Alipay,Completed
33,33,2022-07-22,WeChat,Completed
34,34,2022-12-25,WeChat,Completed
35,35,2023-03-22,Alipay,Completed
36,36,2022-12-01,Zelle,Completed
37,37,2022-11-10,Alipay,Completed
38,38,2022-09-13,e-transfer,Completed
39,39,2023-05-30,Alipay,Failed
40,40,2022-11-12,WeChat,Completed
41,41,2023-05-27,Alipay,Completed
42,42,2023-02-14,Zelle,Completed
43,43,2022-08-16,PayPal,Completed
44,44,2024-06-06,Alipay,Completed
45,45,2023-10-20,Zelle,Completed
46,46,2022-08-13,Zelle,Completed
47,47,2024-02-12,WeChat,Completed
48,48,2023-08-08,Zelle,Failed
49,49,2023-05-28,Zelle,Pending
50,50,2023-01-25,Zelle,Pending
51,51,2022-10-31,Zelle,Pending
52,52,2024-03-20,e-transfer,Completed
53,53,2023-09-09,e-transfer,Pending
54,54,2023-07-29,WeChat,Completed
55,55,2023-05-14,Alipay,Completed
56,56,2022-08-13,Zelle,Completed
57,57,2022-08-01,Alipay,Completed
58,58,2023-01-31,Alipay,Pending
59,59,2023-08-14,WeChat,Failed
60,60,2022-10-13,Zelle,Completed
61,61,2023-01-16,Zelle,Completed
62,62,2023-12-23,PayPal,Completed
63,63,2023-09-17,Alipay,Pending
64,64,2023-10-30,Alipay,Pending
65,65,2024-01-15,e-transfer,Completed
66,66,2023-02-01,PayPal,Completed
67,67,2023-08-03,e-transfer,Pending
68,68,2022-07-18,e-transfer,Completed
69,69,2023-04-11,e-transfer,Pending
70,70,2022-10-05,WeChat,Pending
71,71,2024-04-03,WeChat,Completed
72,72,2024-03-22,e-transfer,Pending
73,73,2023-08-31,PayPal,Completed
74,74,2024-02-11,Alipay,Completed
75,75,2023-04-03,PayPal,Pending
76,76,2023-08-31,Zelle,Failed
77,77,2023-12-11,WeChat,Completed
78,78,2023-06-03,Alipay,Pending
79,79,2022-08-18,Alipay,Completed
80,80,2023-10-03,Zelle,Completed
81,81,2022-10-04,Zelle,Completed
82,82,2023-02-03,e-transfer,Pending
83,83,2022-12-21,WeChat,Completed
84,84,2023-08-13,WeChat,Completed
85,85,2023-01-19,PayPal,Completed
86,86,2023-01-24,e-transfer,Pending
87,87,2023-04-10,e-transfer,Failed
88,88,2023-06-21,e-transfer,Completed
89,89,2023-06-15,e-transfer,Completed
90,90,2024-05-09,WeChat,Failed
91,91,2024-03-23,WeChat,Failed
92,92,2023-02-10,e-transfer,Completed
93,93,2024-04-28,PayPal,Completed
94,94,2022-11-04,Alipay,Completed
95,95,2022-09-20,Alipay,Failed
96,96,2024-05-20,PayPal,Completed
97,97,2023-01-23,e-transfer,Completed
98,98,2022-07-19,WeChat,Completed
99,99,2023-07-12,Alipay,Completed
100,100,2022-09-23,Zelle,Completed
