id,card_name,artist,group,album,price,description,image_url
57,Seventeen - You Made My Dawn,DK,Seventeen,You Made My Dawn,40.49,"This album, 'You Made My Dawn', released by Seventeen, showcases their unique style and musical evolution.",https://en.wikipedia.org/wiki/File:220623_세븐틴_SEVENTEEN.jpg
90,Twice - Eyes Wide Open,Mina,Twice,Eyes Wide Open,65.68,"This album, 'Eyes Wide Open', released by Twice, showcases their unique style and musical evolution.",https://en.wikipedia.org/wiki/File:Twice_performing_at_SAC_2016_02_(cropped).jpg
5,BTS - Love Yourself: Tear,Jin,BTS,Love Yourself: Tear,38.6,"This album, 'Love Yourself: Tear', released by BTS, showcases their unique style and musical evolution.",https://en.wikipedia.org/wiki/File:Bangtan_Boys_at_the_Incheon_Music_Center_in_September_2013_02.jpg
46,Seventeen - Heng:garae,Hoshi,Seventeen,Heng:garae,63.11,"This album, 'Heng:garae', released by Seventeen, showcases their unique style and musical evolution.",https://en.wikipedia.org/wiki/File:220623_세븐틴_SEVENTEEN.jpg
27,Blackpink - Kill This Love,Jennie,Blackpink,Kill This Love,86.64,"This album, 'Kill This Love', released by Blackpink, showcases their unique style and musical evolution.",https://en.wikipedia.org/wiki/File:Blackpink_Coachella_2023_02_(cropped).jpg
118,EXO - EX'ACT,Xiumin,EXO,EX'ACT,47.15,"This album, 'EX'ACT', released by EXO, showcases their unique style and musical evolution.",https://en.wikipedia.org/wiki/File:Exo_monster_160618_suwon.png
70,Seventeen - Heng:garae,Dino,Seventeen,Heng:garae,71.67,"This album, 'Heng:garae', released by Seventeen, showcases their unique style and musical evolution.",https://en.wikipedia.org/wiki/File:220623_세븐틴_SEVENTEEN.jpg
11,BTS - Love Yourself: Tear,J-Hope,BTS,Love Yourself: Tear,22.29,"This album, 'Love Yourself: Tear', released by BTS, showcases their unique style and musical evolution.",https://en.wikipedia.org/wiki/File:Bangtan_Boys_at_the_Incheon_Music_Center_in_September_2013_02.jpg
91,Twice - Feel Special,Dahyun,Twice,Feel Special,60.56,"This album, 'Feel Special', released by Twice, showcases their unique style and musical evolution.",https://en.wikipedia.org/wiki/File:Twice_performing_at_SAC_2016_02_(cropped).jpg
74,Twice - More & More,Nayeon,Twice,More & More,23.77,"This album, 'More & More', released by Twice, showcases their unique style and musical evolution.",https://en.wikipedia.org/wiki/File:Twice_performing_at_SAC_2016_02_(cropped).jpg
