id,user_id,order_date,total_amount
1,50,2023-11-21 03:13:51.569569,163.14
2,48,2023-11-24 03:13:51.571189,16.82
3,51,2024-03-13 03:13:51.572304,34.82
4,27,2023-10-04 03:13:51.573064,519.43
5,66,2023-12-15 03:13:51.577014,144.75
6,34,2023-08-04 03:13:51.578003,84.46
7,5,2023-09-26 03:13:51.578892,360.98
8,55,2024-02-22 03:13:51.580768,49.26
9,2,2024-06-26 03:13:51.581502,440.05
10,55,2023-10-08 03:13:51.583164,282.34
11,89,2023-08-20 03:13:51.584175,500.96
12,26,2024-06-20 03:13:51.585967,38.85
13,77,2024-05-31 03:13:51.586363,630.63
14,60,2024-01-30 03:13:51.588449,195.16
15,78,2023-12-25 03:13:51.589296,99.02
16,35,2024-06-25 03:13:51.589649,231.24
17,63,2023-08-23 03:13:51.590224,38.22
18,57,2024-02-03 03:13:51.590528,303.03
19,77,2023-08-06 03:13:51.592017,364.35
20,34,2024-04-17 03:13:51.593601,581.47
21,90,2023-09-18 03:13:51.595393,438.11
22,36,2023-11-26 03:13:51.596777,372.23
23,14,2024-03-20 03:13:51.597891,46.74
24,31,2023-09-10 03:13:51.598341,495.27
25,35,2024-04-24 03:13:51.600444,158.96
26,24,2023-09-06 03:13:51.602025,47.41
27,63,2023-07-12 03:13:51.602442,462.26
28,34,2024-03-19 03:13:51.604055,236.04
29,98,2023-08-21 03:13:51.604580,160.0
30,87,2024-03-07 03:13:51.605485,258.83
31,55,2024-02-07 03:13:51.607338,397.73
32,4,2023-11-08 03:13:51.609393,227.31
33,65,2024-01-09 03:13:51.610802,353.55
34,11,2024-04-22 03:13:51.612193,375.67
35,94,2024-05-15 03:13:51.614465,506.47
36,93,2023-08-22 03:13:51.617068,474.16
37,2,2023-09-30 03:13:51.619682,99.02
38,42,2024-05-22 03:13:51.620376,581.7
39,26,2024-02-09 03:13:51.622902,172.39
40,10,2024-02-26 03:13:51.624125,307.47
41,52,2024-01-03 03:13:51.625214,378.2
42,42,2024-06-13 03:13:51.626683,338.19
43,50,2024-01-24 03:13:51.627207,163.23
44,13,2023-12-25 03:13:51.627701,549.01
45,29,2024-05-10 03:13:51.629428,458.97
46,24,2024-02-04 03:13:51.630392,73.73
47,61,2023-12-19 03:13:51.631044,340.18
48,11,2024-04-23 03:13:51.632529,353.6
49,56,2024-02-04 03:13:51.634426,470.81
50,49,2023-09-08 03:13:51.636745,323.1
51,73,2024-05-01 03:13:51.638180,93.28
52,3,2024-03-10 03:13:51.638679,221.05
53,69,2024-02-10 03:13:51.640415,424.45
54,25,2024-04-18 03:13:51.643390,311.48
55,59,2023-12-26 03:13:51.644979,409.99
56,66,2023-10-21 03:13:51.646990,575.48
57,83,2024-01-20 03:13:51.649895,314.72
58,64,2024-01-08 03:13:51.650712,487.97
59,30,2024-03-25 03:13:51.652652,403.86
60,36,2023-11-08 03:13:51.653873,334.11
61,51,2023-07-13 03:13:51.655029,163.35
62,76,2024-01-15 03:13:51.655313,378.06
63,34,2024-03-09 03:13:51.658068,248.22
64,1,2023-12-08 03:13:51.659109,260.31
65,94,2023-07-10 03:13:51.660745,526.16
66,82,2023-09-23 03:13:51.662289,405.39
67,21,2023-12-25 03:13:51.663558,442.28
68,30,2024-03-18 03:13:51.664987,188.85
69,79,2023-08-31 03:13:51.665655,371.83
70,22,2023-09-22 03:13:51.667203,297.52
71,52,2024-06-24 03:13:51.667805,544.62
72,35,2024-05-19 03:13:51.669302,402.72
73,25,2024-03-31 03:13:51.670885,283.71
74,10,2023-12-04 03:13:51.671636,533.19
75,19,2024-02-29 03:13:51.673291,219.07
76,9,2023-10-03 03:13:51.674233,338.42
77,21,2024-04-24 03:13:51.675135,256.57
78,3,2024-04-17 03:13:51.677008,498.38
79,21,2024-04-27 03:13:51.678369,443.76
80,12,2023-10-20 03:13:51.679210,334.51
81,34,2023-10-16 03:13:51.679997,14.81
82,48,2023-08-30 03:13:51.680270,254.25
83,25,2024-02-01 03:13:51.681004,331.07
84,40,2024-05-11 03:13:51.681810,470.94
85,85,2023-08-20 03:13:51.683192,203.96
86,43,2023-10-20 03:13:51.684044,403.54
87,76,2024-04-18 03:13:51.685328,87.44
88,67,2023-11-05 03:13:51.685607,343.83
89,97,2024-01-13 03:13:51.686391,75.25
90,44,2023-09-18 03:13:51.686668,477.92
91,96,2024-01-17 03:13:51.688033,72.16
92,46,2023-07-14 03:13:51.688355,753.05
93,81,2023-08-25 03:13:51.690053,603.83
94,38,2024-03-25 03:13:51.691703,388.85
95,8,2024-04-15 03:13:51.693299,511.64
96,71,2023-11-21 03:13:51.694548,641.8
97,19,2024-03-14 03:13:51.695858,41.52
98,90,2023-11-18 03:13:51.696156,51.36
99,69,2024-03-03 03:13:51.696451,319.28
100,100,2023-07-27 03:13:51.697440,344.06
101,36,2024-02-29 03:13:51.698465,289.68
102,60,2024-05-18 03:13:51.699126,168.77
103,66,2024-06-09 03:13:51.700529,891.14
104,22,2023-07-17 03:13:51.702292,478.82
105,39,2023-11-01 03:13:51.703495,311.88
106,45,2024-04-02 03:13:51.704689,284.79
107,28,2023-07-14 03:13:51.705631,599.11
108,68,2024-02-22 03:13:51.706998,187.0
109,100,2024-01-31 03:13:51.707839,16.93
110,78,2023-12-16 03:13:51.708208,144.32
111,83,2024-01-12 03:13:51.708637,542.55
112,36,2024-05-20 03:13:51.710173,135.0
113,75,2024-05-02 03:13:51.711359,338.99
114,100,2023-09-28 03:13:51.713153,74.69
115,54,2024-02-29 03:13:51.713571,257.28
116,25,2023-08-14 03:13:51.715695,273.86
117,17,2023-11-01 03:13:51.716541,495.59
118,84,2024-05-11 03:13:51.718668,143.68
119,90,2023-11-26 03:13:51.719095,712.42
120,74,2024-03-24 03:13:51.721122,144.89
121,28,2024-01-20 03:13:51.721932,99.11
122,57,2024-04-14 03:13:51.722725,525.78
123,87,2023-10-08 03:13:51.724306,756.1
124,61,2024-06-24 03:13:51.725874,418.07
125,74,2023-10-10 03:13:51.727845,276.66
126,59,2024-06-09 03:13:51.729024,279.6
127,81,2023-08-12 03:13:51.730560,319.93
128,73,2023-10-17 03:13:51.731358,216.48
129,87,2024-01-30 03:13:51.731802,135.59
130,70,2024-03-21 03:13:51.732983,289.64
131,12,2024-04-09 03:13:51.734149,208.79
132,63,2023-11-18 03:13:51.735038,317.78
133,49,2023-12-22 03:13:51.735527,279.57
134,44,2023-08-08 03:13:51.735880,409.49
135,85,2024-05-20 03:13:51.736835,309.12
136,18,2024-04-03 03:13:51.737326,315.64
137,34,2024-03-14 03:13:51.738571,173.75
138,10,2024-02-08 03:13:51.739769,369.84
139,81,2024-02-10 03:13:51.741051,194.66
140,48,2024-03-19 03:13:51.741322,410.27
141,32,2024-01-06 03:13:51.742170,279.48
142,61,2023-10-22 03:13:51.742540,180.41
143,62,2023-08-03 03:13:51.743023,311.45
144,77,2024-02-11 03:13:51.744189,93.16
145,17,2023-11-16 03:13:51.744619,200.04
146,86,2024-03-11 03:13:51.745773,587.39
147,41,2024-03-24 03:13:51.747723,332.52
148,98,2023-08-08 03:13:51.749639,149.99
149,14,2024-07-06 03:13:51.750175,712.02
150,30,2024-03-31 03:13:51.751442,40.82
